aten_op,failed,has_sharding,has_decomp,fully_coverable,decomp_ops,blocking_ops,blocking_reasons
aten.special_shifted_chebyshev_polynomial_w.default,False,False,False,False,,,
aten.special_spherical_bessel_j0.default,False,False,True,False,prims.spherical_bessel_j0.default,prims.spherical_bessel_j0.default,prims.spherical_bessel_j0.default:no_decomp
aten.special_xlog1py.default,False,False,True,False,aten.eq.Scalar;aten.isnan.default;aten.log1p.default;aten.mul.Tensor;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.special_zeta.default,False,False,True,False,prims.zeta.default,prims.zeta.default,prims.zeta.default:no_decomp
aten.split_with_sizes_copy.default,False,True,True,True,,,
aten.split_with_sizes.default,False,True,True,True,,,
aten.split.Tensor,False,True,True,True,,,
aten.sqrt.default,False,True,True,True,,,
aten.squeeze_.dim,False,True,False,True,,,
aten.squeeze_copy.default,False,False,True,True,aten.clone.default;aten.squeeze.default,,
aten.squeeze.default,False,True,True,True,,,
aten.squeeze.dim,False,True,True,True,,,
aten.squeeze.dims,False,False,True,False,prims.view_of.default,prims.view_of.default,prims.view_of.default:no_decomp
aten.stack.default,False,True,True,True,,,
aten.std_mean.correction,False,False,True,False,aten.sqrt.default;aten.var_mean.correction,aten.var_mean.correction,aten.var_mean.correction:blocked_by_3_ops
aten.std.correction,False,True,True,True,,,
aten.sub.Tensor,False,True,True,True,,,
aten.sum.default,False,True,True,True,,,
aten.sum.dim_IntList,False,True,True,True,,,
aten.t_copy.default,False,False,True,True,aten.clone.default;aten.t.default,,
aten.t.default,False,True,True,True,,,
aten.take.default,False,False,True,True,aten.index.Tensor;aten.view.default,,
aten.tan.default,False,True,True,True,,,
aten.tanh.default,False,True,True,True,,,
aten.threshold.default,False,False,True,False,aten.le.Scalar;aten.scalar_tensor.default;aten.where.self,aten.scalar_tensor.default,aten.scalar_tensor.default:no_decomp
aten.topk.default,False,True,False,True,,,
aten.trace.default,False,False,True,True,aten.diagonal_copy.default;aten.sum.default,,
aten.transpose_copy.int,False,False,True,True,aten.clone.default;aten.transpose.int,,
aten.transpose.int,False,True,True,True,,,
aten.tril_indices.default,False,False,True,False,aten._to_copy.default;aten.add.Tensor;aten.arange.start;aten.cat.default;aten.floor.default;aten.floor_divide.default;aten.mul.Tensor;aten.remainder.Scalar;aten.sqrt.default;aten.stack.default;aten.sub.Tensor,aten.arange.start,aten.arange.start:decomp_but_untraced
aten.tril.default,False,True,True,True,,,
aten.triu_indices.default,False,False,True,False,aten._to_copy.default;aten.add.Tensor;aten.arange.start;aten.cat.default;aten.floor.default;aten.floor_divide.default;aten.mul.Tensor;aten.remainder.Scalar;aten.rsub.Scalar;aten.sqrt.default;aten.stack.default;aten.sub.Tensor,aten.arange.start,aten.arange.start:decomp_but_untraced
aten.triu.default,False,True,True,True,,,
aten.trunc.default,False,True,True,True,,,
aten.unbind_copy.int,False,False,True,True,aten.clone.default;aten.unbind.int,,
aten.unbind.int,False,True,True,True,,,
aten.unfold_copy.default,False,False,True,False,aten.clone.default;aten.unfold.default,aten.unfold.default,aten.unfold.default:blocked_by_1_ops
aten.unfold.default,False,False,True,False,aten.as_strided.default,aten.as_strided.default,aten.as_strided.default:no_decomp
aten.uniform_.default,False,True,True,True,,,
aten.unique_consecutive.default,False,False,False,False,,,
aten.unsafe_split.Tensor,False,False,True,True,aten.split.Tensor,,
aten.unsqueeze_copy.default,False,False,True,True,aten.clone.default;aten.unsqueeze.default,,
aten.unsqueeze.default,False,True,True,True,,,
aten.upsample_bicubic2d.default,False,True,True,True,,,
aten.upsample_bilinear2d.default,False,True,True,True,,,
aten.upsample_linear1d.default,False,True,True,True,,,
aten.upsample_nearest1d.default,False,False,True,False,aten._to_copy.default;aten._unsafe_index.Tensor;aten.add.Tensor;aten.arange.default;aten.mul.Tensor,aten._unsafe_index.Tensor;aten.arange.default,aten._unsafe_index.Tensor:decomp_but_untraced;aten.arange.default:decomp_but_untraced
aten.upsample_trilinear3d.default,False,True,True,True,,,
aten.var_mean.correction,False,False,True,False,prims.div.default;prims.sum.default;prims.var.default,prims.div.default;prims.sum.default;prims.var.default,prims.div.default:no_decomp;prims.var.default:no_decomp;prims.sum.default:no_decomp
aten.var.correction,False,True,True,True,,,
aten.vdot.default,False,False,True,True,aten.dot.default,,
aten.view_as_complex.default,False,True,False,True,,,
aten.view_copy.default,False,False,True,True,aten.clone.default;aten.view.default,,
aten.view.default,False,True,True,True,,,
aten.where.self,False,True,True,True,,,
aten.xlogy.Tensor,False,True,True,True,,,
aten.zero_.default,False,True,True,True,,,
aten.zeros_like.default,False,True,True,True,,,
aten.zeros.default,False,False,True,False,aten.full.default,aten.full.default,aten.full.default:blocked_by_1_ops
cholesky,True,False,False,False,,,
cholesky_inverse,True,False,False,False,,,
cholesky_solve,True,False,False,False,,,
geqrf,True,False,False,False,,,
imag,True,False,False,False,,,
istft,True,False,False,False,,,
jiterator_2inputs_2outputs,True,False,False,False,,,
jiterator_4inputs_with_extra_args,True,False,False,False,,,
jiterator_binary,True,False,False,False,,,
jiterator_binary_return_by_ref,True,False,False,False,,,
jiterator_unary,True,False,False,False,,,
linalg.cholesky,True,False,False,False,,,
linalg.cholesky_ex,True,False,False,False,,,
linalg.cond,True,False,False,False,,,
linalg.eig,True,False,False,False,,,
linalg.eigh,True,False,False,False,,,
linalg.eigvals,True,False,False,False,,,
linalg.eigvalsh,True,False,False,False,,,
linalg.householder_product,True,False,False,False,,,
linalg.inv,True,False,False,False,,,
linalg.inv_ex,True,False,False,False,,,
linalg.ldl_factor,True,False,False,False,,,
linalg.ldl_factor_ex,True,False,False,False,,,
linalg.ldl_solve,True,False,False,False,,,
linalg.lstsq,True,False,False,False,,,
linalg.lu,True,False,False,False,,,
linalg.lu_factor,True,False,False,False,,,
linalg.lu_factor_ex,True,False,False,False,,,
linalg.lu_solve,True,False,False,False,,,
linalg.matrix_rank,True,False,False,False,,,
linalg.pinv,True,False,False,False,,,
linalg.qr,True,False,False,False,,,
linalg.solve,True,False,False,False,,,
linalg.solve_ex,True,False,False,False,,,
linalg.solve_triangular,True,False,False,False,,,
linalg.svdvals,True,False,False,False,,,
linalg.tensorinv,True,False,False,False,,,
linalg.tensorsolve,True,False,False,False,,,
lu,True,False,False,False,,,
lu_solve,True,False,False,False,,,
lu_unpack,True,False,False,False,,,
nn.functional.batch_norm,True,False,False,False,,,
nn.functional.silu,True,False,False,False,,,
norm,True,False,False,False,,,
ormqr,True,False,False,False,,,
pca_lowrank,True,False,False,False,,,
pinverse,True,False,False,False,,,
qr,True,False,False,False,,,
sparse.mm,True,False,False,False,,,
sparse.sampled_addmm,True,False,False,False,,,
svd_lowrank,True,False,False,False,,,
to_sparse,True,False,False,False,,,
torch._scaled_mm_v2,True,False,False,False,,,
torch.ops.aten._efficient_attention_forward,True,False,False,False,,,
torch.ops.aten._flash_attention_forward,True,False,False,False,,,
triangular_solve,True,False,False,False,,,
view_as_real,True,False,False,False,,,
