aten op                                                 sharding     decomp_detail   #opinfos   repl_ok    repl_fail  opinfo_names
aten.maximum.default                                    single_dim   explicit        7          7          0          linalg.matrix_rank, linalg.matrix_rank(hermitian), masked.normalize, masked.std, masked.var, max(binary), maximum
aten.mean.default                                       op_strategy  explicit        13         12         1          mean, nn.functional.cosine_embedding_loss, nn.functional.ctc_loss, nn.functional.gaussian_nll_loss, nn.functional.hinge_embedding_loss, nn.functional.kl_div, nn.functional.l1_loss, nn.functional.margin_ranking_loss, nn.functional.multilabel_soft_margin_loss, nn.functional.poisson_nll_loss, nn.functional.smooth_l1_loss, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss
aten.mean.dim                                           op_strategy  explicit        7          5          2          mean, nn.functional.adaptive_avg_pool1d, nn.functional.adaptive_avg_pool3d, nn.functional.instance_norm, nn.functional.multi_head_attention_forward, nn.functional.rms_norm, pca_lowrank
aten.median.default                                     -            -               1          0          1          median
aten.median.dim                                         -            -               1          0          1          median
aten.min.default                                        op_strategy  -               2          2          0          cov, min(reduction_no_dim)
aten.min.dim                                            op_strategy  -               1          1          0          min(reduction_with_dim)
aten.minimum.default                                    single_dim   explicit        4          4          0          min(binary), minimum, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss
aten.mish.default                                       decomp       explicit        1          1          0          nn.functional.mish
aten.mm.default                                         single_dim   -               11         8          3          __rmatmul__, corrcoef, cov, linalg.matrix_power, linalg.pinv(singular), matmul, mm, nn.functional.linear, pca_lowrank, svd_lowrank, tensordot
aten.mode.default                                       -            -               1          0          1          mode
aten.mse_loss.default                                   decomp       explicit        1          1          0          nn.functional.mse_loss
aten.mul.Scalar                                         single_dim   explicit        10         10         1          cov, cumulative_trapezoid, gradient, isclose, nn.functional.poisson_nll_loss, nn.functional.scaled_dot_product_attention, quantile, special.ndtr, trapezoid, trapz
aten.mul.Tensor                                         single_dim   explicit        38         36         3          __rdiv__, __rmul__, cov, cumulative_trapezoid, gradient, inner, isclose, isfinite, kron, linalg.matrix_rank, linalg.matrix_rank(hermitian), linalg.vecdot, masked.std, masked.var, mul, nanquantile, nn.functional.alpha_dropout, nn.functional.cosine_embedding_loss, nn.functional.cosine_similarity, nn.functional.cross_entropy, nn.functional.dropout, nn.functional.dropout2d, nn.functional.dropout3d, nn.functional.feature_alpha_dropout(with_train), nn.functional.gaussian_nll_loss, nn.functional.kl_div, nn.functional.local_response_norm, nn.functional.margin_ranking_loss, nn.functional.multi_head_attention_forward, nn.functional.multilabel_soft_margin_loss, nn.functional.poisson_nll_loss, nn.functional.rms_norm, nn.functional.scaled_dot_product_attention, outer, stft, tensordot, trapezoid, trapz
aten.mul_.Scalar                                        single_dim   explicit        2          2          0          nn.functional.alpha_dropout, nn.functional.feature_alpha_dropout(with_train)
aten.mul_.Tensor                                        single_dim   explicit        1          0          1          combinations
aten.multi_margin_loss.default                          decomp       explicit        1          0          1          nn.functional.multi_margin_loss
aten.multilabel_margin_loss_forward.default             decomp       explicit        1          0          1          nn.functional.multilabel_margin_loss
aten.multinomial.default                                -            -               1          0          1          multinomial
aten.mv.default                                         decomp       explicit        3          3          0          __rmatmul__, matmul, mv
aten.mvlgamma.default                                   single_dim   explicit        3          3          0          mvlgamma(mvlgamma_p_1), mvlgamma(mvlgamma_p_3), mvlgamma(mvlgamma_p_5)
aten.nan_to_num.default                                 single_dim   explicit        1          1          0          nan_to_num
aten.nanmedian.default                                  -            -               1          0          1          nanmedian
aten.nanmedian.dim                                      -            -               2          0          2          masked.median, nanmedian
aten.nansum.default                                     decomp       explicit        2          0          2          nanmean, nansum
aten.narrow_copy.default                                decomp       explicit        1          1          0          narrow_copy
aten.native_batch_norm.default                          decomp       explicit+cia    4          3          4          native_batch_norm, nn.functional.batch_norm, nn.functional.batch_norm(without_cudnn), nn.functional.instance_norm
aten.native_dropout_backward.default                    single_dim   explicit        1          1          0          native_dropout_backward
aten.native_group_norm.default                          decomp       explicit        1          0          1          nn.functional.group_norm
aten.native_layer_norm.default                          op_strategy  explicit        2          2          0          native_layer_norm, nn.functional.layer_norm
aten.ne.Scalar                                          single_dim   explicit        4          4          0          cov, isclose, isfinite, nn.functional.hinge_embedding_loss
aten.ne.Tensor                                          decomp       explicit        2          1          1          nanmean, ne
aten.neg.default                                        single_dim   explicit        8          8          0          gradient, masked.softmin, neg, nn.functional.cross_entropy, nn.functional.margin_ranking_loss, nn.functional.multilabel_soft_margin_loss, nn.functional.softmin, nn.functional.softmin(with_dtype)
aten.new_empty.default                                  op_strategy  explicit        5          5          0          new_empty, nn.functional.dropout2d, nn.functional.dropout3d, nn.functional.feature_alpha_dropout(with_train), nn.functional.pad(circular)
aten.new_empty_strided.default                          op_strategy  explicit        1          1          0          new_empty_strided
aten.new_full.default                                   op_strategy  explicit        2          2          0          masked.normalize, new_full
aten.new_ones.default                                   op_strategy  explicit        6          5          1          corrcoef, cov, linalg.vander, nanquantile, new_ones, quantile
aten.new_zeros.default                                  op_strategy  explicit        3          3          0          masked.std, masked.var, new_zeros
aten.nextafter.default                                  single_dim   explicit        1          1          0          nextafter
aten.nll_loss2d_forward.default                         op_strategy  explicit        2          2          0          nn.functional.cross_entropy, nn.functional.nll_loss
aten.nll_loss_forward.default                           op_strategy  explicit        2          2          0          nn.functional.cross_entropy, nn.functional.nll_loss
aten.nonzero.default                                    -            -               2          0          2          argwhere, nonzero
aten.nonzero_static.default                             -            -               1          0          1          nonzero_static
aten.norm.ScalarOpt_dim                                 decomp       explicit        3          3          0          nn.functional.pairwise_distance, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss
aten.normal.Tensor_Tensor                               decomp       explicit        1          0          1          normal
aten.normal.Tensor_float                                decomp       explicit        1          0          1          normal
aten.normal_.default                                    op_strategy  explicit        1          1          0          normal(in_place)
aten.ones.default                                       decomp       explicit        5          4          1          masked.mean, masked.std, masked.var, nn.functional.scaled_dot_product_attention, ones
aten.ones_like.default                                  op_strategy  explicit        3          2          1          isreal, max_pool2d_with_indices_backward, ones_like
aten.ormqr.default                                      -            -               1          0          1          ormqr
aten.permute.default                                    op_strategy  explicit        11         10         1          T, einsum, inner, linalg.matrix_norm, linalg.norm, linalg.norm(subgradients_at_zero), linalg.tensorsolve, movedim, norm(nuc), permute, tensordot
aten.permute_copy.default                               decomp       explicit        1          1          0          permute_copy
aten.pixel_shuffle.default                              decomp       explicit        1          1          0          nn.functional.pixel_shuffle
aten.pixel_unshuffle.default                            decomp       explicit        1          1          0          nn.functional.pixel_unshuffle
aten.polar.default                                      decomp       explicit        1          1          1          polar
aten.polygamma.default                                  single_dim   -               6          6          0          polygamma(polygamma_n_0), polygamma(polygamma_n_1), polygamma(polygamma_n_2), polygamma(polygamma_n_3), polygamma(polygamma_n_4), special.polygamma(special_polygamma_n_0)
aten.pow.Tensor_Scalar                                  single_dim   explicit        4          3          1          nn.functional.gaussian_nll_loss, nn.functional.local_response_norm, nn.functional.rms_norm, square
aten.pow.Tensor_Tensor                                  single_dim   explicit        3          3          0          __rpow__, float_power, pow
aten.prod.default                                       op_strategy  explicit        1          1          0          prod
aten.prod.dim_int                                       op_strategy  explicit        2          2          0          masked.prod, prod
aten.put.default                                        -            -               1          0          1          put
aten.rad2deg.default                                    single_dim   explicit        1          1          0          rad2deg
aten.rand.default                                       -            -               2          0          2          nn.functional.fractional_max_pool2d, nn.functional.fractional_max_pool3d
aten.randint_like.default                               op_strategy  -               1          1          0          randint_like
aten.randint_like.low_dtype                             op_strategy  -               1          1          0          randint_like
aten.randn.default                                      decomp       explicit        3          1          2          pca_lowrank, randn, svd_lowrank
aten.randn_like.default                                 op_strategy  -               2          2          0          rand_like, randn_like
aten.reciprocal.default                                 single_dim   explicit        2          2          0          __rdiv__, reciprocal
aten.reflection_pad1d.default                           decomp       explicit        2          0          2          nn.functional.pad(reflect), stft
aten.reflection_pad2d.default                           decomp       explicit        1          0          1          nn.functional.pad(reflect)
aten.reflection_pad3d.default                           decomp       explicit        1          0          1          nn.functional.pad(reflect)
aten.relu.default                                       single_dim   explicit        1          1          0          nn.functional.relu
aten.remainder.Scalar                                   single_dim   explicit        1          1          0          take_along_dim
aten.remainder.Tensor                                   single_dim   explicit        2          2          0          __rmod__, remainder
aten.renorm.default                                     decomp       explicit        1          0          1          renorm
aten.repeat.default                                     op_strategy  explicit        4          3          1          nn.functional.instance_norm, nn.functional.multi_head_attention_forward, repeat, tile
aten.repeat_interleave.Tensor                           -            -               1          0          1          repeat_interleave
aten.replication_pad1d.default                          decomp       explicit        1          0          1          nn.functional.pad(replicate)
aten.replication_pad2d.default                          decomp       explicit        2          0          2          nn.functional.pad(replicate), nn.functional.pad(replicate_negative)
aten.replication_pad3d.default                          decomp       explicit        1          0          1          nn.functional.pad(replicate)
aten.resize_.default                                    -            -               1          0          1          resize_
aten.resize_as_.default                                 -            -               1          0          1          resize_as_
aten.roll.default                                       single_dim   explicit        3          3          0          fft.fftshift, fft.ifftshift, roll
aten.rot90.default                                      decomp       explicit        1          1          0          rot90
aten.round.decimals                                     single_dim   explicit        3          3          0          round(decimals_0), round(decimals_3), round(decimals_neg_3)
aten.round.default                                      single_dim   explicit        1          1          0          round
aten.rrelu_with_noise.default                           -            -               1          0          1          nn.functional.rrelu
aten.rsqrt.default                                      single_dim   explicit        2          2          0          nn.functional.rms_norm, rsqrt
aten.rsub.Scalar                                        single_dim   explicit        1          1          0          nn.functional.multilabel_soft_margin_loss
aten.rsub.Tensor                                        decomp       explicit        2          2          0          __rsub__, rsub
aten.scalar_tensor.default                              -            -               7          5          2          corrcoef, cov, logdet, nanquantile, nn.functional.cosine_similarity, nn.functional.scaled_dot_product_attention, quantile
aten.scatter.reduce                                     -            -               1          0          1          scatter
aten.scatter.src                                        op_strategy  -               1          1          0          scatter
aten.scatter.value                                      op_strategy  -               1          1          0          scatter
aten.scatter.value_reduce                               -            -               1          0          1          scatter
aten.scatter_add.default                                op_strategy  -               1          1          0          scatter_add
aten.scatter_reduce.two                                 -            -               5          0          5          scatter_reduce(amax), scatter_reduce(amin), scatter_reduce(mean), scatter_reduce(prod), scatter_reduce(sum)
aten.searchsorted.Scalar                                -            -               1          0          1          searchsorted
aten.searchsorted.Tensor                                -            -               1          0          1          searchsorted
aten.segment_reduce.default                             -            -               2          0          2          _segment_reduce(lengths), _segment_reduce(offsets)
aten.select.int                                         op_strategy  -               5          5          0          __getitem__, gradient, select, trapezoid, trapz
aten.select_scatter.default                             decomp       explicit        1          0          1          select_scatter
aten.sgn.default                                        single_dim   explicit        1          1          0          sgn
aten.sigmoid.default                                    single_dim   explicit        1          1          0          sigmoid
aten.sign.default                                       single_dim   explicit        1          1          0          sign
aten.signbit.default                                    single_dim   explicit        1          1          0          signbit
aten.silu.default                                       single_dim   explicit        2          2          0          nn.functional.silu, nn.functional.silu(complex)
aten.sin.default                                        single_dim   explicit        1          1          0          sin
aten.sinc.default                                       single_dim   explicit        1          1          0          sinc
aten.sinh.default                                       single_dim   explicit        1          1          0          sinh
aten.slice.Tensor                                       op_strategy  explicit        29         27         3          __getitem__, cumulative_trapezoid, diff, dsplit, fft.fft2, fft.fftn, fft.hfft, fft.hfft2, fft.hfftn, fft.ifft2, fft.ifftn, fft.ihfft2, fft.ihfftn, fft.irfft, fft.irfft2, fft.irfftn, fft.rfft2, fft.rfftn, gradient, hsplit, linalg.cond, linalg.matrix_rank, narrow, nn.functional.pad(circular), slice, tensor_split, trapezoid, trapz, vsplit
aten.slice_scatter.default                              op_strategy  explicit        1          1          0          slice_scatter
aten.smooth_l1_loss.default                             decomp       explicit        1          1          0          nn.functional.smooth_l1_loss
aten.soft_margin_loss.default                           decomp       explicit        1          1          0          nn.functional.soft_margin_loss
aten.softplus.default                                   decomp       explicit        1          1          0          nn.functional.softplus
aten.softshrink.default                                 decomp       explicit        1          1          0          nn.functional.softshrink
aten.sort.default                                       op_strategy  -               5          5          0          argsort, msort, nanquantile, quantile, sort
aten.sort.stable                                        op_strategy  -               2          2          0          argsort, sort
aten.sparse_sampled_addmm.default                       -            -               1          0          1          sparse.sampled_addmm
aten.special_airy_ai.default                            -            -               1          0          1          special.airy_ai
aten.special_bessel_j0.default                          decomp       explicit        1          1          0          special.bessel_j0
aten.special_bessel_j1.default                          decomp       explicit        1          1          0          special.bessel_j1
aten.special_bessel_y0.default                          -            -               1          0          1          special.bessel_y0
aten.special_bessel_y1.default                          -            -               1          0          1          special.bessel_y1
aten.special_chebyshev_polynomial_t.default             -            -               1          0          1          special.chebyshev_polynomial_t
aten.special_chebyshev_polynomial_u.default             -            -               1          0          1          special.chebyshev_polynomial_u
aten.special_chebyshev_polynomial_v.default             -            -               1          0          1          special.chebyshev_polynomial_v
aten.special_chebyshev_polynomial_w.default             -            -               1          0          1          special.chebyshev_polynomial_w
aten.special_entr.default                               decomp       explicit        1          0          1          special.entr
aten.special_erfcx.default                              single_dim   explicit        1          1          0          special.erfcx
aten.special_hermite_polynomial_h.default               -            -               1          0          1          special.hermite_polynomial_h
aten.special_hermite_polynomial_he.default              -            -               1          0          1          special.hermite_polynomial_he
aten.special_i0e.default                                decomp       explicit        1          1          0          special.i0e
aten.special_i1.default                                 decomp       explicit        1          1          0          special.i1
aten.special_i1e.default                                decomp       explicit        1          1          0          special.i1e
aten.special_laguerre_polynomial_l.default              -            -               1          0          1          special.laguerre_polynomial_l
aten.special_legendre_polynomial_p.default              -            -               1          0          1          special.legendre_polynomial_p
aten.special_log_ndtr.default                           decomp       explicit        1          1          0          special.log_ndtr
aten.special_modified_bessel_i0.default                 -            -               1          0          1          special.modified_bessel_i0
aten.special_modified_bessel_i1.default                 -            -               1          0          1          special.modified_bessel_i1
aten.special_modified_bessel_k0.default                 -            -               1          0          1          special.modified_bessel_k0
aten.special_modified_bessel_k1.default                 -            -               1          0          1          special.modified_bessel_k1
aten.special_ndtri.default                              decomp       explicit        1          1          0          special.ndtri
aten.special_scaled_modified_bessel_k0.default          -            -               1          0          1          special.scaled_modified_bessel_k0
aten.special_scaled_modified_bessel_k1.default          -            -               1          0          1          special.scaled_modified_bessel_k1
aten.special_shifted_chebyshev_polynomial_t.default     -            -               1          0          1          special.shifted_chebyshev_polynomial_t
aten.special_shifted_chebyshev_polynomial_u.default     -            -               1          0          1          special.shifted_chebyshev_polynomial_u
aten.special_shifted_chebyshev_polynomial_v.default     -            -               1          0          1          special.shifted_chebyshev_polynomial_v
aten.special_shifted_chebyshev_polynomial_w.default     -            -               1          0          1          special.shifted_chebyshev_polynomial_w
aten.special_spherical_bessel_j0.default                decomp       explicit        1          1          0          special.spherical_bessel_j0
aten.special_xlog1py.default                            decomp       explicit        1          0          1          special.xlog1py
aten.special_zeta.default                               decomp       explicit        1          1          0          special.zeta
aten.split.Tensor                                       op_strategy  explicit        3          3          0          chunk, nn.functional.multi_head_attention_forward, split
aten.split_with_sizes.default                           op_strategy  explicit        2          2          0          split(list_args), split_with_sizes
aten.split_with_sizes_copy.default                      op_strategy  explicit        1          1          0          split_with_sizes_copy
aten.sqrt.default                                       single_dim   explicit        3          3          0          corrcoef, masked.std, sqrt
aten.sqrt_.default                                      single_dim   explicit        1          1          0          nn.functional.cosine_embedding_loss
aten.squeeze.default                                    op_strategy  explicit        4          4          0          corrcoef, cov, squeeze, tensordot
aten.squeeze.dim                                        op_strategy  explicit        20         9          13         __rmatmul__, linalg.cond, matmul, nn.functional.adaptive_avg_pool1d, nn.functional.adaptive_max_pool1d, nn.functional.avg_pool1d, nn.functional.conv1d, nn.functional.conv2d, nn.functional.conv3d, nn.functional.conv_transpose1d, nn.functional.conv_transpose2d, nn.functional.conv_transpose3d, nn.functional.dropout3d, nn.functional.interpolate(area), nn.functional.local_response_norm, nn.functional.max_pool1d, nn.functional.max_unpool1d, nn.functional.max_unpool1d(grad), nn.functional.multi_head_attention_forward, squeeze
aten.squeeze.dims                                       op_strategy  explicit        1          1          1          squeeze(multiple)
aten.squeeze_.dim                                       op_strategy  -               6          5          1          __rmatmul__, matmul, nanquantile, nn.functional.linear, quantile, stft
aten.squeeze_copy.default                               decomp       explicit        1          1          0          squeeze_copy
aten.squeeze_copy.dim                                   decomp       explicit        1          1          0          squeeze_copy
aten.stack.default                                      op_strategy  explicit        2          1          1          cartesian_prod, combinations
aten.std.correction                                     op_strategy  explicit        2          2          0          std, std(unbiased)
aten.std_mean.correction                                decomp       explicit        2          2          0          std_mean, std_mean(unbiased)
aten.sub.Scalar                                         single_dim   explicit        3          3          0          cov, nanquantile, nn.functional.cosine_embedding_loss
aten.sub.Tensor                                         single_dim   explicit        25         23         2          corrcoef, cov, cumulative_trapezoid, diff, gradient, isclose, masked.std, masked.var, nanquantile, nn.functional.gaussian_nll_loss, nn.functional.kl_div, nn.functional.l1_loss, nn.functional.margin_ranking_loss, nn.functional.pairwise_distance, nn.functional.poisson_nll_loss, nn.functional.smooth_l1_loss, nn.functional.tanhshrink, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss, pca_lowrank, quantile, sub, svd_lowrank, trapezoid, trapz
aten.sub_.Tensor                                        single_dim   explicit        2          2          0          nn.functional.cosine_embedding_loss, nn.functional.hinge_embedding_loss
aten.sum.default                                        op_strategy  explicit        15         14         1          cov, nn.functional.cosine_embedding_loss, nn.functional.cross_entropy, nn.functional.ctc_loss, nn.functional.gaussian_nll_loss, nn.functional.hinge_embedding_loss, nn.functional.kl_div, nn.functional.l1_loss, nn.functional.margin_ranking_loss, nn.functional.poisson_nll_loss, nn.functional.triplet_margin_loss, nn.functional.triplet_margin_with_distance_loss, sum, sum_to_size, tensordot
aten.sum.dim_IntList                                    op_strategy  explicit        25         24         1          corrcoef, cov, einsum, linalg.matrix_norm, linalg.matrix_rank, linalg.matrix_rank(hermitian), linalg.norm, linalg.norm(subgradients_at_zero), linalg.vecdot, masked.mean, masked.std, masked.sum, masked.var, nanmean, nanquantile, nn.functional.cosine_embedding_loss, nn.functional.cosine_similarity, nn.functional.cross_entropy, nn.functional.multilabel_soft_margin_loss, norm(nuc), sum, sum_to_size, tensordot, trapezoid, trapz
aten.t.default                                          op_strategy  explicit        5          5          0          corrcoef, cov, nn.functional.linear, nn.functional.multi_head_attention_forward, t
aten.t_copy.default                                     decomp       explicit        1          1          0          t_copy
aten.take.default                                       decomp       explicit        1          1          0          take
aten.tan.default                                        single_dim   explicit        1          1          0          tan
aten.tanh.default                                       single_dim   explicit        2          2          0          nn.functional.tanhshrink, tanh
aten.threshold.default                                  decomp       explicit        1          0          1          nn.functional.threshold
aten.topk.default                                       op_strategy  -               1          1          0          topk
aten.trace.default                                      decomp       explicit        1          1          0          trace
aten.transpose.int                                      op_strategy  explicit        14         11         4          H, __rmatmul__, linalg.pinv(singular), mH, mT, matmul, nanquantile, nn.functional.multi_head_attention_forward, nn.functional.scaled_dot_product_attention, pca_lowrank, quantile, svd, svd_lowrank, transpose
aten.transpose_.default                                 -            -               3          0          3          nanquantile, quantile, stft
aten.transpose_copy.int                                 decomp       explicit        1          1          0          transpose_copy
aten.triangular_solve.default                           -            -               1          0          1          triangular_solve
aten.tril.default                                       op_strategy  explicit        2          1          1          nn.functional.scaled_dot_product_attention, tril
aten.triu.default                                       op_strategy  explicit        1          1          0          triu
aten.trunc.default                                      single_dim   explicit        1          1          0          trunc
aten.unbind.int                                         op_strategy  explicit        2          1          1          nonzero, unbind
aten.unbind_copy.int                                    decomp       explicit        1          1          0          unbind_copy
aten.unfold.default                                     decomp       explicit        1          0          1          unfold
aten.unfold_copy.default                                decomp       explicit        1          0          1          unfold_copy
aten.uniform_.default                                   op_strategy  explicit        1          1          0          uniform
aten.unique_consecutive.default                         -            -               1          0          1          unique_consecutive
aten.unique_dim.default                                 -            -               1          0          1          unique
aten.unsafe_split.Tensor                                decomp       explicit        2          2          0          unsafe_chunk, unsafe_split
aten.unsqueeze.default                                  op_strategy  explicit        36         22         16         __rmatmul__, atleast_2d, atleast_3d, corrcoef, cov, linalg.matrix_norm, linalg.matrix_rank, linalg.matrix_rank(hermitian), linalg.norm, linalg.norm(subgradients_at_zero), linalg.vander, matmul, nanquantile, nn.functional.adaptive_avg_pool1d, nn.functional.adaptive_max_pool1d, nn.functional.avg_pool1d, nn.functional.conv1d, nn.functional.conv2d, nn.functional.conv3d, nn.functional.conv_transpose1d, nn.functional.conv_transpose2d, nn.functional.conv_transpose3d, nn.functional.dropout3d, nn.functional.gaussian_nll_loss, nn.functional.interpolate(area), nn.functional.linear, nn.functional.local_response_norm, nn.functional.max_pool1d, nn.functional.max_unpool1d, nn.functional.max_unpool1d(grad), nn.functional.multi_head_attention_forward, nonzero, quantile, repeat_interleave, stft, unsqueeze
aten.unsqueeze_.default                                 -            -               2          0          2          nanquantile, quantile
aten.unsqueeze_copy.default                             decomp       explicit        1          1          0          unsqueeze_copy
aten.upsample_bicubic2d.default                         op_strategy  explicit        1          1          0          nn.functional.interpolate(bicubic)
aten.upsample_bilinear2d.default                        op_strategy  explicit        2          2          0          nn.functional.interpolate(bilinear), nn.functional.upsample_bilinear
aten.upsample_linear1d.default                          op_strategy  explicit        1          1          0          nn.functional.interpolate(linear)
aten.upsample_nearest1d.default                         decomp       explicit+cia    2          0          2          nn.functional.interpolate(nearest), nn.functional.upsample_nearest
aten.upsample_nearest2d.default                         op_strategy  explicit+cia    2          2          0          nn.functional.interpolate(nearest), nn.functional.upsample_nearest
aten.upsample_nearest3d.default                         decomp       explicit+cia    2          0          2          nn.functional.interpolate(nearest), nn.functional.upsample_nearest
aten.upsample_trilinear3d.default                       op_strategy  explicit        1          1          0          nn.functional.interpolate(trilinear)
aten.var.correction                                     op_strategy  explicit        2          2          0          var, var(unbiased)
aten.var_mean.correction                                op_strategy  explicit        2          2          0          var_mean, var_mean(unbiased)
aten.vdot.default                                       decomp       explicit        2          2          0          linalg.vecdot, vdot
aten.view.default                                       op_strategy  explicit        48         38         11         __rmatmul__, atleast_1d, atleast_2d, atleast_3d, cartesian_prod, cdist, combinations, corrcoef, cov, cumulative_trapezoid, diagflat, flatten, gradient, inner, linalg.matrix_power, linalg.pinv(singular), linalg.tensorinv, linalg.tensorsolve, masked.std, masked.var, matmul, meshgrid(list_of_tensors), meshgrid(variadic_tensors), nanquantile, nn.functional.bilinear, nn.functional.cross_entropy, nn.functional.embedding_bag, nn.functional.instance_norm, nn.functional.linear, nn.functional.multi_head_attention_forward, nn.functional.prelu, nn.functional.scaled_dot_product_attention, outer, pca_lowrank, quantile, ravel, repeat_interleave, reshape, reshape_as, stft, svd_lowrank, take_along_dim, tensordot, trapezoid, trapz, unflatten, view, view_as
aten.view_as_complex.default                            single_dim   -               1          1          0          view_as_complex
aten.view_as_real.default                               op_strategy  -               1          0          1          stft
aten.view_copy.default                                  op_strategy  explicit        1          1          0          view_copy
aten.where.self                                         single_dim   explicit        25         21         6          linalg.matrix_rank, logdet, masked.amax, masked.amin, masked.argmax, masked.argmin, masked.cumprod, masked.cumsum, masked.log_softmax, masked.logaddexp, masked.logsumexp, masked.mean, masked.median, masked.norm, masked.prod, masked.softmax, masked.softmin, masked.std, masked.sum, masked.var, nn.functional.cosine_embedding_loss, nn.functional.ctc_loss, nn.functional.hinge_embedding_loss, nn.functional.scaled_dot_product_attention, where
aten.xlogy.Tensor                                       single_dim   explicit        2          2          0          nn.functional.kl_div, xlogy
aten.zero_.default                                      op_strategy  explicit        1          1          0          zero_
aten.zeros.default                                      decomp       explicit        11         10         1          linalg.matrix_rank, linalg.matrix_rank(hermitian), linalg.norm, linalg.norm(subgradients_at_zero), nn.functional.alpha_dropout, nn.functional.ctc_loss, nn.functional.dropout, nn.functional.dropout2d, nn.functional.dropout3d, nn.functional.feature_alpha_dropout(with_train), zeros
aten.zeros_like.default                                 op_strategy  explicit        4          4          0          diff, nn.functional.cosine_embedding_loss, nn.functional.hinge_embedding_loss, zeros_like
